audio_path,image_path,caption,tiny_transcription,tiny_similarity,base_transcription,base_similarity,small_transcription,small_similarity,medium_transcription,medium_similarity,large_transcription,large_similarity
audios/IISc_VaaniProject_S_Bihar_Gopalganj_112865_11645068_BHGGOTHER_365290_8918_18610.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00387.jpg,a building with a lot of signs on it," And there is a top that is not complete now, it is not complete. There is a top that is being used to.",0.1551285237073898," And there is also a complete place, which is not complete yet. Only the Eto is available.",0.1000682488083839, and there is a wall of Eto walls which is not completed yet,0.3021367192268371," and on top of that, which is not complete yet, there are only bricks walls.",0.3314722180366516," and above is not complete yet, there are only bricks walls.",0.3417718112468719
audios/IISc_VaaniProject_S_Bihar_Gopalganj_121538_12311848_BHGGOTHER_365324_6074_19469.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00743.jpg,a group of motorcycles parked in front of a store., and here it is very modern and the engine is very good,0.1254082322120666," and here there are many motor cars here, which are very good in view and here all the motor cars are in view, there are 20 videos in front of the motor, which are very good in view and here there are 2 people standing here, very good",0.3272684812545776, There are many motor cycles here which looks very good. There are two motor cycles here and two DCB wheels which looks very good.,0.2276477813720703, There are many motorcycles here which look very good. There are two disc brakes which look very good. And two people are standing here which is very good.,0.4858648478984833, and here are many motorcycles which look very good and here are two motorcycles and two bikes which look very good and here are two people standing very good,0.5528818368911743
audios/IISc_VaaniProject_S_Bihar_Gopalganj_109731_11777539_BHGGOTHER_363679_8073_11579.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00618.jpg,a street scene with a bus and a bus., I am not sure if you can get a cup of coffee or a bowl of coffee.,0.1406627148389816, Here all the buildings are built here.,0.0913712382316589, There are many buildings and so many soft buildings.,0.1224423795938491, There are many sofas and buildings here.,0.1772577315568924, There are many shops and buildings here.,0.2265002131462097
audios/IISc_VaaniProject_S_Bihar_Gopalganj_119424_11996174_BHGGOTHER_365006_11770_19686.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00939.jpg,a house with a lot of motorcycles parked in front of it., I am doing a bike park. I have seen how many times I have seen the transformer connected.,0.2196514457464218, The bike park is connected to the transformer,0.3220384418964386," I am working in the office, parking the bike, there are so many transformers, connected, so many.",0.377524197101593," I am working in my office, bike park is here, see how many transformers are connected",0.2939597964286804, There are so many transformers here,0.137187659740448
audios/IISc_VaaniProject_S_Bihar_Gopalganj_123472_12023990_BHGGPL_364866_0_8946.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00351.jpg,a row of motorcycles parked next to a building., This is a hospital. The hospital is full of hospital. The hospital is very expensive. Here is a small room.,0.1243933513760566, This is a hospital. It is called the Pilarang. There are many houses after the hospital. There is a balcony.,0.222369372844696," This is a hospital. The hospital is of yellow colour. After the hospital, there are many cars parked. There is a Baltic hospital here.",0.285061776638031, This is a hospital. The hospital is yellow in colour. There are many cars parked outside the hospital. There is a bucket here.,0.3113905489444732," This is a hospital, it is yellow in colour. There are many cars parked outside the hospital. There is a bucket here.",0.3028055429458618
audios/IISc_VaaniProject_S_Bihar_Gopalganj_120402_12217190_BHARBA_351884_7985_18668.wav,images/IISc_VaaniProject_GENERIC_0441.jpg,a soldier with short hair, I have been waiting for a while to get a design and a design for the design and the design is also quite different. I have been waiting for a while and I have been waiting for a while and I have been waiting for a while and I have been waiting for a while and I have been waiting for a while and I have been waiting for a while and I have been waiting for a while and I have been waiting for a while and I have been waiting for a while,0.0088020469993352, There is a side-fighting in the design and the partying is not cut in the side. We are showing you the details of the vehicle.,0.0847212746739387, The side is also cut and the other side is also cut.,0.1247173175215721, This is the haircut done by the owner. The design is side parted. We can see the green wall behind.,0.2800168991088867, The hair cut is done by the designer. The side parting is done by the designer. The back part of the hair is done by the designer. The back part of the hair is done by the designer.,0.2869231700897217
audios/IISc_VaaniProject_S_Bihar_Gopalganj_110505_11578151_BHGGEV_363732_6983_15959.wav,images/IISc_VaaniProject_GENERIC_1319.jpg,a man standing next to a giant red balloon, and the red color of the chart is red and yellow and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and yellow is red and,-0.025769717991352," and also on the roof, there are also red colors and yellow pink colors and also white colors are also t-shirts",0.0775523483753204, and on the roof too white color balloons are on it and yellow pink ribbon is on it white colored ties are on it,0.2024391889572143, There are red colored balloons on the roof and yellow colored ribbon and white colored ties.,0.3564126789569855," And on the roof, there are white and red balloons and yellow and pink ribbons and white ties.",0.3038196861743927
audios/IISc_VaaniProject_S_Bihar_Gopalganj_106232_11375812_BHGGBU_363592_13484_20101.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00827.jpg,a view of a busy street., The dough is very thick and it is very soft.,-0.0164347290992736, Some of the stores are standing in the same way. The shops are standing in the same way. The trees are standing in the same way.,0.1973572224378585, There are many people standing in front of the shop.,0.1877574771642685," Some people are standing in line. There are shops, buses, trees, sky.",0.361281156539917, There are some people and buses parked in front of the shop.,0.3143900036811828
audios/IISc_VaaniProject_S_Bihar_Gopalganj_126707_12311367_BHGGTA_365520_11445_18215.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00918.jpg,automobile model is a luxury sedan with a new bumper, This is the place where the white color is covered.,0.1168306246399879, This is the angle of the food that they have eaten.,0.0627527609467506, This is a white color shirt. They are showing a red color shirt.,0.1079715564846992, One uncle is driving a white shirt and he is showing a red car.,0.219548761844635, A man is seen driving a white shirt and a red shirt is seen on his face,0.2664889693260193
audios/IISc_VaaniProject_S_Bihar_Gopalganj_116209_11900782_BHGGHEC_364217_8_11599.wav,images/IISc_VaaniProject_Gopalganj-SPECIFIC_00231.jpg,a motorcycle parked in front of a building., Here we have a big cake and we have a cake with a big cake. Inside we have a cake with a big cake. We have a big cake with a big cake.,0.1281038075685501, This is a big park. There are two cars here. The bike is also seen. And the side is also seen in the opposite side. The one is the one. And the children are also seen.,0.3869352042675018, This is a brick. There are shops here. There are bikes here. There are other sets on the side. There are windows and stairs.,0.4196547269821167," This is a pick-up, shops are open, bikes are also visible. There are other shutters on the front side, which are closed. The stairs are also visible.",0.377161294221878, This is a pick. There are shops here. You can see bikes here. There are more sets on the side. They are closed. You can see birds here.,0.3179421126842499
