audio_path,image_path,caption,tiny_transcription,tiny_similarity,base_transcription,base_similarity,small_transcription,small_similarity,medium_transcription,medium_similarity,large_transcription,large_similarity
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12210177_APVDA_74648_12858_17702.wav,Image/IISc_VaaniProject_GENERIC_0485.jpg,a woman is working on a machine in a room., And here we see that the wind is blowing from its place.,0.0017062872648239, and here some people are giving away their own village from home,-0.0340041555464267, Some people are giving away their houses from the house.,-0.0169567912817001, and here some people are giving their houses away from their own villages,-0.0296655762940645, And here some people are giving their villages as bridegrooms.,-0.0039981538429856
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12208376_APVDAF_171820_10601_20579.wav,Image/IISc_VaaniProject_GENERIC_0463.jpg,a group of children practicing yoga," All the colors are red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red, red,",0.0462837778031826," all this is a color dress, it is not a paint, it is not a paint, it is a dress cord, and there is nothing here, it is a mat,",0.0074749984778463, All are wearing same color dress. The pants are different. But there is a dress cord and some clothes are running.,0.0896954387426376," All are same color dress, but the pants are different.",0.0427725836634635," All are wearing same color dress, but the pants are different. But this is a dress code and some talks are going on here.",0.0740709975361824
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12201527_APCTDAF_173707_0_10680.wav,Image/IISc_VaaniProject_GENERIC_0473.jpg,a group of dancers in traditional dress dancing, Here is a new tower which is a very simple place for the city. Here we have a small place for the city.,-0.0574736148118972, Here is a minute tower which is a minute tower of the Indian village. And here is the front of the village of Sankar Bhawan. And here is a 7 minute tower of the village.,0.0234081000089645," There is a statue of Lord Shiva, who is the creator of the temple. There is a statue of Lord Shankar Bhawan.",0.0110859908163547, Here is a dance of Juhara Sankriti. Here is a photo of Lord Shankar. Some women are dancing together.,0.4345901906490326, Here is a dance of the 12 culture. And here is the photograph of Shankar Bhagwan. And some women are dancing together.,0.5335013270378113
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12205992_KTCMFLM_300562_9112_18373.wav,Image/IISc_VaaniProject_GENERIC_0524.jpg,flowers for sale at the market, This is a full-boiled tea which is used in the market. It is very beautiful and beautiful. It is a beautiful tea.,0.337111622095108," This flower is very good, the trees are also good, and this flower is very beautiful, beautiful, amazing",0.4827953279018402, These flowers are very beautiful and beautiful.,0.5898511409759521, These flowers are very beautiful and beautiful.,0.5898510813713074, This flower is very beautiful and beautiful,0.5202078819274902
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12212954_APVDM_255102_830_11926.wav,Image/IISc_VaaniProject_GENERIC_0459.jpg,a group of people standing on a boat., The feature is very easy and easy. The machine is very easy and easy.,0.0019163452088832," There are many houses here. There is a machine, a board like this. And there is a fire. And open the door. And there is a pole here.",0.0832446068525314, There are many hills and a machine is here. It is like a ship. There is a Ganges and an open sky. And here is a pool.,0.1659449487924575, Behind me are many mountains and a machine and behind me is Gangaji and open sky and here is a pole,0.0953484922647476, Behind me is a machine and a sky,0.0869239866733551
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12210177_APVDA_74648_0_8264.wav,Image/IISc_VaaniProject_GENERIC_0485.jpg,a woman is working on a machine in a room., This is the second part of the road.,-0.0842524245381355," or give a milk to the people who need milk, milk is centering here, then they are maintaining milk for milk",0.0544478818774223, People come here to give milk to their own milk center. Women are taking milk and doing dairy maintenance.,0.2142784893512725, This is a milk center where people give their milk. Women are maintaining dairy with milk.,0.2502924501895904, This is a milk center where people come and give their milk. Here women are maintaining dairy with milk.,0.2478818595409393
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_106335_11411499_BHGGBR_363565_6163_18202.wav,Image/IISc_VaaniProject_Gopalganj-SPECIFIC_00733.jpg,a train crossing a bridge at sunset., One hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one hour is coming and one,0.233308807015419," One camera, one red signal, and many other things are being put on the camera. One shot is being seen, and the other is being seen.",0.1476007252931594, One is showing a comb and one is showing a red signal. There are many plants around. One is showing a shirt and the other is showing a beard.,0.0797479003667831, Red signal is visible.,0.2150910198688507," You can see a pillar, red signal, many big plants, X-ray type and wires.",0.128214806318283
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_106335_11411499_BHGGBR_363565_8_5526.wav,Image/IISc_VaaniProject_Gopalganj-SPECIFIC_00733.jpg,a train crossing a bridge at sunset., This is a photo of a party which is in the car.,0.2193254679441452, This is a photo of a battery which is showing the sky in which the child is watching.,0.244852215051651, This is a photo of a butterfly in which the children are seeing the sky.,0.128851369023323, This is a picture of a butterfly in which the kids are looking at the blue sky,0.1350236684083938, This is a picture of a track where children are looking at the blue sky.,0.3048303723335266
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_120464_12010180_CGBMEX_346501_5083_12060.wav,Image/IISc_VaaniProject_GENERIC_0044.jpg,a crowd of people watching a religious event., The house is full of water and the water is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of water and the house is full of,-0.0363425500690937, There are many trees and trees in the back and there are some children here.,0.1094993650913238, There are many trees and some children are standing here.,0.1557215452194214, Behind me is a house like a building. Behind me are many trees and some children are standing here.,0.1165796592831611, There are houses and houses are made in the back and there are many trees in the back and some children are standing here and,0.0987778753042221
Audio/IISc_VaaniProject_S_Bihar_Gopalganj_106335_11411006_BHGGFIM_363874_11778_15935.wav,Image/IISc_VaaniProject_Gopalganj-SPECIFIC_00013.jpg,a man is selling fish at a market., and the camera is still there.,-0.0223651882261037, and the scanner is placed on the back side as well,-0.0470011122524738, and water is also kept in it.,0.0625106766819953, and there is a scanner and water is also lying around.,0.0428499206900596, and there is a scanner and water is also lying around,0.0453061647713184
